"Date","liczba_przypadkow","stan_rekordu_na","zgony","wojewodztwo"
2020-03-15,0,2020-03-14,0,"kujawsko-pomorskie"
2020-03-15,8,2020-03-14,1,"lubelskie"
2020-03-15,0,2020-03-14,0,"lubuskie"
2020-03-15,10,2020-03-14,0,"łódzkie"
2020-03-15,0,2020-03-14,0,"małopolskie"
2020-03-15,5,2020-03-14,0,"mazowieckie"
2020-03-15,2,2020-03-14,0,"opolskie"
2020-03-15,1,2020-03-14,0,"podkarpackie"
2020-03-15,0,2020-03-14,0,"podlaskie"
2020-03-15,2,2020-03-14,0,"pomorskie"
2020-03-15,0,2020-03-14,NA,"śląskie"
2020-03-15,2,2020-03-14,0,"świętokrzyskie"
2020-03-15,0,2020-03-14,0,"warmińsko-mazurskie"
2020-03-15,1,2020-03-14,0,"wielkopolskie"
2020-03-15,0,2020-03-14,0,"zachodniopomorskie"
2020-03-15,36,2020-03-14,1,"Cały kraj"
2020-03-16,2,2020-03-15,0,"dolnośląskie"
2020-03-16,0,2020-03-15,0,"kujawsko-pomorskie"
2020-03-16,2,2020-03-15,0,"lubelskie"
2020-03-16,1,2020-03-15,0,"lubuskie"
2020-03-16,4,2020-03-15,0,"łódzkie"
2020-03-16,0,2020-03-15,0,"małopolskie"
2020-03-16,6,2020-03-15,0,"mazowieckie"
2020-03-16,0,2020-03-15,0,"opolskie"
2020-03-16,1,2020-03-15,0,"podkarpackie"
2020-03-16,0,2020-03-15,0,"podlaskie"
2020-03-16,0,2020-03-15,0,"pomorskie"
2020-03-16,2,2020-03-15,NA,"śląskie"
2020-03-16,1,2020-03-15,0,"świętokrzyskie"
2020-03-16,1,2020-03-15,0,"warmińsko-mazurskie"
2020-03-16,0,2020-03-15,0,"wielkopolskie"
2020-03-16,1,2020-03-15,0,"zachodniopomorskie"
2020-03-16,21,2020-03-15,0,"Cały kraj"
2020-03-17,12,2020-03-16,0,"dolnośląskie"
2020-03-17,0,2020-03-16,0,"kujawsko-pomorskie"
2020-03-17,1,2020-03-16,0,"lubelskie"
2020-03-17,0,2020-03-16,0,"lubuskie"
2020-03-17,12,2020-03-16,0,"łódzkie"
2020-03-17,1,2020-03-16,0,"małopolskie"
2020-03-17,13,2020-03-16,0,"mazowieckie"
2020-03-17,2,2020-03-16,0,"opolskie"
2020-03-17,3,2020-03-16,0,"podkarpackie"
2020-03-17,0,2020-03-16,0,"podlaskie"
2020-03-17,0,2020-03-16,0,"pomorskie"
2020-03-17,4,2020-03-16,NA,"śląskie"
2020-03-17,0,2020-03-16,0,"świętokrzyskie"
2020-03-17,0,2020-03-16,0,"warmińsko-mazurskie"
2020-03-17,4,2020-03-16,0,"wielkopolskie"
2020-03-17,0,2020-03-16,0,"zachodniopomorskie"
2020-03-17,52,2020-03-16,1,"Cały kraj"
2020-03-18,11,2020-03-17,1,"dolnośląskie"
2020-03-18,8,2020-03-17,0,"kujawsko-pomorskie"
2020-03-18,4,2020-03-17,0,"lubelskie"
2020-03-18,0,2020-03-17,0,"lubuskie"
2020-03-18,11,2020-03-17,0,"łódzkie"
2020-03-18,3,2020-03-17,0,"małopolskie"
2020-03-18,3,2020-03-17,0,"mazowieckie"
2020-03-18,2,2020-03-17,0,"opolskie"
2020-03-18,0,2020-03-17,0,"podkarpackie"
2020-03-18,0,2020-03-17,0,"podlaskie"
2020-03-18,6,2020-03-17,0,"pomorskie"
2020-03-18,6,2020-03-17,NA,"śląskie"
2020-03-18,0,2020-03-17,0,"świętokrzyskie"
2020-03-18,2,2020-03-17,0,"warmińsko-mazurskie"
2020-03-18,2,2020-03-17,0,"wielkopolskie"
2020-03-18,2,2020-03-17,0,"zachodniopomorskie"
2020-03-18,61,2020-03-17,1,"Cały kraj"
2020-03-19,2,2020-03-18,0,"dolnośląskie"
2020-03-19,0,2020-03-18,0,"kujawsko-pomorskie"
2020-03-19,0,2020-03-18,0,"lubelskie"
2020-03-19,1,2020-03-18,0,"lubuskie"
2020-03-19,0,2020-03-18,0,"łódzkie"
2020-03-19,1,2020-03-18,0,"małopolskie"
2020-03-19,28,2020-03-18,0,"mazowieckie"
2020-03-19,1,2020-03-18,0,"opolskie"
2020-03-19,3,2020-03-18,0,"podkarpackie"
2020-03-19,1,2020-03-18,0,"podlaskie"
2020-03-19,1,2020-03-18,0,"pomorskie"
2020-03-19,6,2020-03-18,NA,"śląskie"
2020-03-19,1,2020-03-18,0,"świętokrzyskie"
2020-03-19,4,2020-03-18,0,"warmińsko-mazurskie"
2020-03-19,0,2020-03-18,0,"wielkopolskie"
2020-03-19,0,2020-03-18,0,"zachodniopomorskie"
2020-03-19,49,2020-03-18,0,"Cały kraj"
2020-03-20,13,2020-03-19,0,"dolnośląskie"
2020-03-20,3,2020-03-19,0,"kujawsko-pomorskie"
2020-03-20,3,2020-03-19,0,"lubelskie"
2020-03-20,6,2020-03-19,0,"lubuskie"
2020-03-20,6,2020-03-19,0,"łódzkie"
2020-03-20,1,2020-03-19,0,"małopolskie"
2020-03-20,16,2020-03-19,0,"mazowieckie"
2020-03-20,1,2020-03-19,0,"opolskie"
2020-03-20,3,2020-03-19,0,"podkarpackie"
2020-03-20,0,2020-03-19,0,"podlaskie"
2020-03-20,0,2020-03-19,0,"pomorskie"
2020-03-20,12,2020-03-19,NA,"śląskie"
2020-03-20,1,2020-03-19,0,"świętokrzyskie"
2020-03-20,1,2020-03-19,0,"warmińsko-mazurskie"
2020-03-20,2,2020-03-19,0,"wielkopolskie"
2020-03-20,1,2020-03-19,0,"zachodniopomorskie"
2020-03-20,68,2020-03-19,0,"Cały kraj"
2020-03-21,5,2020-03-20,0,"dolnośląskie"
2020-03-21,3,2020-03-20,0,"kujawsko-pomorskie"
2020-03-21,3,2020-03-20,0,"lubelskie"
2020-03-21,0,2020-03-20,0,"lubuskie"
2020-03-21,9,2020-03-20,0,"łódzkie"
2020-03-21,7,2020-03-20,0,"małopolskie"
2020-03-21,25,2020-03-20,0,"mazowieckie"
2020-03-21,0,2020-03-20,0,"opolskie"
2020-03-21,2,2020-03-20,0,"podkarpackie"
2020-03-21,2,2020-03-20,0,"podlaskie"
2020-03-21,1,2020-03-20,0,"pomorskie"
2020-03-21,4,2020-03-20,NA,"śląskie"
2020-03-21,1,2020-03-20,0,"świętokrzyskie"
2020-03-21,5,2020-03-20,0,"warmińsko-mazurskie"
2020-03-21,3,2020-03-20,0,"wielkopolskie"
2020-03-21,0,2020-03-20,0,"zachodniopomorskie"
2020-03-21,70,2020-03-20,0,"Cały kraj"
2020-03-22,8,2020-03-21,0,"dolnośląskie"
2020-03-22,4,2020-03-21,0,"kujawsko-pomorskie"
2020-03-22,3,2020-03-21,0,"lubelskie"
2020-03-22,0,2020-03-21,0,"lubuskie"
2020-03-22,34,2020-03-21,0,"łódzkie"
2020-03-22,2,2020-03-21,0,"małopolskie"
2020-03-22,20,2020-03-21,0,"mazowieckie"
2020-03-22,0,2020-03-21,0,"opolskie"
2020-03-22,6,2020-03-21,0,"podkarpackie"
2020-03-22,2,2020-03-21,0,"podlaskie"
2020-03-22,4,2020-03-21,0,"pomorskie"
2020-03-22,10,2020-03-21,NA,"śląskie"
2020-03-22,1,2020-03-21,0,"świętokrzyskie"
2020-03-22,3,2020-03-21,0,"warmińsko-mazurskie"
2020-03-22,13,2020-03-21,0,"wielkopolskie"
2020-03-22,1,2020-03-21,0,"zachodniopomorskie"
2020-03-22,111,2020-03-21,0,"Cały kraj"
2020-03-23,13,2020-03-22,0,"dolnośląskie"
2020-03-23,0,2020-03-22,0,"kujawsko-pomorskie"
2020-03-23,8,2020-03-22,0,"lubelskie"
2020-03-23,2,2020-03-22,0,"lubuskie"
2020-03-23,15,2020-03-22,0,"łódzkie"
2020-03-23,8,2020-03-22,0,"małopolskie"
2020-03-23,20,2020-03-22,1,"mazowieckie"
2020-03-23,4,2020-03-22,0,"opolskie"
2020-03-23,4,2020-03-22,0,"podkarpackie"
2020-03-23,1,2020-03-22,0,"podlaskie"
2020-03-23,3,2020-03-22,0,"pomorskie"
2020-03-23,10,2020-03-22,NA,"śląskie"
2020-03-23,0,2020-03-22,0,"świętokrzyskie"
2020-03-23,2,2020-03-22,0,"warmińsko-mazurskie"
2020-03-23,6,2020-03-22,1,"wielkopolskie"
2020-03-23,2,2020-03-22,0,"zachodniopomorskie"
2020-03-23,98,2020-03-22,2,"Cały kraj"
2020-03-24,22,2020-03-23,0,"dolnośląskie"
2020-03-24,3,2020-03-23,0,"kujawsko-pomorskie"
2020-03-24,9,2020-03-23,0,"lubelskie"
2020-03-24,5,2020-03-23,0,"lubuskie"
2020-03-24,5,2020-03-23,0,"łódzkie"
2020-03-24,9,2020-03-23,0,"małopolskie"
2020-03-24,28,2020-03-23,0,"mazowieckie"
2020-03-24,5,2020-03-23,0,"opolskie"
2020-03-24,1,2020-03-23,0,"podkarpackie"
2020-03-24,1,2020-03-23,0,"podlaskie"
2020-03-24,4,2020-03-23,0,"pomorskie"
2020-03-24,11,2020-03-23,NA,"śląskie"
2020-03-24,1,2020-03-23,0,"świętokrzyskie"
2020-03-24,3,2020-03-23,0,"warmińsko-mazurskie"
2020-03-24,4,2020-03-23,0,"wielkopolskie"
2020-03-24,4,2020-03-23,0,"zachodniopomorskie"
2020-03-24,115,2020-03-23,1,"Cały kraj"
2020-03-25,33,2020-03-24,0,"dolnośląskie"
2020-03-25,1,2020-03-24,0,"kujawsko-pomorskie"
2020-03-25,6,2020-03-24,1,"lubelskie"
2020-03-25,5,2020-03-24,0,"lubuskie"
2020-03-25,18,2020-03-24,0,"łódzkie"
2020-03-25,16,2020-03-24,0,"małopolskie"
2020-03-25,37,2020-03-24,0,"mazowieckie"
2020-03-25,2,2020-03-24,0,"opolskie"
2020-03-25,7,2020-03-24,0,"podkarpackie"
2020-03-25,0,2020-03-24,0,"podlaskie"
2020-03-25,1,2020-03-24,0,"pomorskie"
2020-03-25,10,2020-03-24,1,"śląskie"
2020-03-25,0,2020-03-24,0,"świętokrzyskie"
2020-03-25,4,2020-03-24,0,"warmińsko-mazurskie"
2020-03-25,1,2020-03-24,0,"wielkopolskie"
2020-03-25,11,2020-03-24,0,"zachodniopomorskie"
2020-03-25,152,2020-03-24,2,"Cały kraj"
2020-03-26,16,2020-03-25,2,"dolnośląskie"
2020-03-26,5,2020-03-25,0,"kujawsko-pomorskie"
2020-03-26,6,2020-03-25,0,"lubelskie"
2020-03-26,2,2020-03-25,0,"lubuskie"
2020-03-26,15,2020-03-25,0,"łódzkie"
2020-03-26,7,2020-03-25,0,"małopolskie"
2020-03-26,39,2020-03-25,0,"mazowieckie"
2020-03-26,2,2020-03-25,0,"opolskie"
2020-03-26,6,2020-03-25,0,"podkarpackie"
2020-03-26,3,2020-03-25,0,"podlaskie"
2020-03-26,0,2020-03-25,0,"pomorskie"
2020-03-26,20,2020-03-25,0,"śląskie"
2020-03-26,6,2020-03-25,1,"świętokrzyskie"
2020-03-26,4,2020-03-25,0,"warmińsko-mazurskie"
2020-03-26,15,2020-03-25,0,"wielkopolskie"
2020-03-26,4,2020-03-25,0,"zachodniopomorskie"
2020-03-26,150,2020-03-25,3,"Cały kraj"
2020-03-27,15,2020-03-26,0,"dolnośląskie"
2020-03-27,4,2020-03-26,0,"kujawsko-pomorskie"
2020-03-27,14,2020-03-26,0,"lubelskie"
2020-03-27,7,2020-03-26,0,"lubuskie"
2020-03-27,14,2020-03-26,0,"łódzkie"
2020-03-27,13,2020-03-26,0,"małopolskie"
2020-03-27,40,2020-03-26,2,"mazowieckie"
2020-03-27,3,2020-03-26,0,"opolskie"
2020-03-27,10,2020-03-26,0,"podkarpackie"
2020-03-27,3,2020-03-26,0,"podlaskie"
2020-03-27,6,2020-03-26,0,"pomorskie"
2020-03-27,20,2020-03-26,0,"śląskie"
2020-03-27,1,2020-03-26,0,"świętokrzyskie"
2020-03-27,6,2020-03-26,0,"warmińsko-mazurskie"
2020-03-27,12,2020-03-26,0,"wielkopolskie"
2020-03-27,2,2020-03-26,1,"zachodniopomorskie"
2020-03-27,170,2020-03-26,3,"Cały kraj"
2020-03-28,28,2020-03-27,0,"dolnośląskie"
2020-03-28,2,2020-03-27,0,"kujawsko-pomorskie"
2020-03-28,4,2020-03-27,0,"lubelskie"
2020-03-28,1,2020-03-27,0,"lubuskie"
2020-03-28,10,2020-03-27,0,"łódzkie"
2020-03-28,24,2020-03-27,0,"małopolskie"
2020-03-28,27,2020-03-27,0,"mazowieckie"
2020-03-28,2,2020-03-27,0,"opolskie"
2020-03-28,8,2020-03-27,0,"podkarpackie"
2020-03-28,4,2020-03-27,0,"podlaskie"
2020-03-28,4,2020-03-27,0,"pomorskie"
2020-03-28,14,2020-03-27,0,"śląskie"
2020-03-28,7,2020-03-27,0,"świętokrzyskie"
2020-03-28,5,2020-03-27,0,"warmińsko-mazurskie"
2020-03-28,21,2020-03-27,0,"wielkopolskie"
2020-03-28,7,2020-03-27,0,"zachodniopomorskie"
2020-03-28,168,2020-03-27,0,"Cały kraj"
2020-03-29,21,2020-03-28,0,"dolnośląskie"
2020-03-29,4,2020-03-28,0,"kujawsko-pomorskie"
2020-03-29,9,2020-03-28,1,"lubelskie"
2020-03-29,2,2020-03-28,0,"lubuskie"
2020-03-29,14,2020-03-28,0,"łódzkie"
2020-03-29,19,2020-03-28,0,"małopolskie"
2020-03-29,103,2020-03-28,1,"mazowieckie"
2020-03-29,3,2020-03-28,0,"opolskie"
2020-03-29,10,2020-03-28,0,"podkarpackie"
2020-03-29,9,2020-03-28,0,"podlaskie"
2020-03-29,4,2020-03-28,0,"pomorskie"
2020-03-29,24,2020-03-28,0,"śląskie"
2020-03-29,5,2020-03-28,0,"świętokrzyskie"
2020-03-29,2,2020-03-28,0,"warmińsko-mazurskie"
2020-03-29,9,2020-03-28,0,"wielkopolskie"
2020-03-29,11,2020-03-28,0,"zachodniopomorskie"
2020-03-29,249,2020-03-28,2,"Cały kraj"
2020-03-30,20,2020-03-29,0,"dolnośląskie"
2020-03-30,10,2020-03-29,0,"kujawsko-pomorskie"
2020-03-30,18,2020-03-29,0,"lubelskie"
2020-03-30,0,2020-03-29,0,"lubuskie"
2020-03-30,8,2020-03-29,0,"łódzkie"
2020-03-30,38,2020-03-29,1,"małopolskie"
2020-03-30,40,2020-03-29,0,"mazowieckie"
2020-03-30,12,2020-03-29,0,"opolskie"
2020-03-30,5,2020-03-29,0,"podkarpackie"
2020-03-30,2,2020-03-29,0,"podlaskie"
2020-03-30,9,2020-03-29,0,"pomorskie"
2020-03-30,30,2020-03-29,3,"śląskie"
2020-03-30,7,2020-03-29,0,"świętokrzyskie"
2020-03-30,10,2020-03-29,0,"warmińsko-mazurskie"
2020-03-30,9,2020-03-29,1,"wielkopolskie"
2020-03-30,6,2020-03-29,0,"zachodniopomorskie"
2020-03-30,224,2020-03-29,4,"Cały kraj"
2020-03-31,24,2020-03-30,0,"dolnośląskie"
2020-03-31,25,2020-03-30,0,"kujawsko-pomorskie"
2020-03-31,9,2020-03-30,1,"lubelskie"
2020-03-31,3,2020-03-30,0,"lubuskie"
2020-03-31,12,2020-03-30,0,"łódzkie"
2020-03-31,24,2020-03-30,0,"małopolskie"
