wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
podkarpackie;sanocki;4;0.42;0;0;0;24;107;91;6;85;0;t1817;2020-12-14
podkarpackie;stalowowolski;15;1.42;2;0;2;53;402;111;33;78;0;t1818;2020-12-14
podkarpackie;strzyżowski;5;0.82;1;0;1;20;214;73;10;56;7;t1819;2020-12-14
podkarpackie;tarnobrzeski;7;1.32;0;0;0;20;186;162;41;121;0;t1820;2020-12-14
podkarpackie;leski;3;1.14;0;0;0;9;49;27;3;24;0;t1821;2020-12-14
podkarpackie;Krosno;6;1.3;0;0;0;17;81;74;16;58;0;t1861;2020-12-14
podkarpackie;Przemyśl;5;0.83;0;0;0;27;191;50;8;41;1;t1862;2020-12-14
podkarpackie;Rzeszów;36;1.83;3;2;1;73;481;370;54;312;4;t1863;2020-12-14
podkarpackie;Tarnobrzeg;6;1.29;0;0;0;19;160;259;74;185;0;t1864;2020-12-14
podlaskie;augustowski;7;1.21;0;0;0;33;261;34;11;23;0;t2001;2020-12-14
podlaskie;białostocki;34;2.26;0;0;0;90;682;179;41;138;0;t2002;2020-12-14
podlaskie;bielski;8;1.48;0;0;0;32;234;66;9;57;0;t2003;2020-12-14
podlaskie;grajewski;13;2.76;0;0;0;19;201;42;14;28;0;t2004;2020-12-14
podlaskie;hajnowski;6;1.42;0;0;0;25;250;49;6;43;0;t2005;2020-12-14
podlaskie;kolneński;10;2.63;0;0;0;17;94;23;10;13;0;t2006;2020-12-14
podlaskie;łomżyński;2;0.39;0;0;0;15;229;26;4;22;0;t2007;2020-12-14
podlaskie;moniecki;4;0.99;0;0;0;16;163;40;5;35;0;t2008;2020-12-14
podlaskie;sejneński;1;0.5;0;0;0;4;96;5;2;3;0;t2009;2020-12-14
podlaskie;siemiatycki;3;0.68;1;0;1;12;132;35;9;26;0;t2010;2020-12-14
